# Онтология аттракторов человеческого организма с количественными оценками
1.	Точечные аттракторы (всего: 4000-5000)
1.2.1.3.1.2.3.	Лиганд-индуцированные кластеры (8-10)
1.2.1.3.1.2.3.1.	Иммунные синапсы (3-4)
1.2.1.3.1.2.3.2.	Нейротрансмиттерные кластеры (3-3)
1.2.1.3.1.2.3.3.	Факторы роста-индуцированные кластеры (2-3)
1.2.1.3.1.3.	Сигнальные платформы (20-30) 
1.2.1.3.1.3.1.	Мембранные микродомены (7-10)
1.2.1.3.1.3.1.1.	Кавеолярные платформы (3-4)
1.2.1.3.1.3.1.2.	Тетраспановые веб-платформы (2-3)
1.2.1.3.1.3.1.3.	Гликосфинголипидные обогащенные домены (2-3)
1.2.1.3.1.3.2.	Скаффолд-организованные платформы (7-10)
1.2.1.3.1.3.2.1.	PDZ-домен содержащие комплексы (3-4)
1.2.1.3.1.3.2.2.	SH2/SH3-домен содержащие комплексы (2-3)
1.2.1.3.1.3.2.3.	BAR-домен содержащие комплексы (2-3)
1.2.1.3.1.3.3.	Временные сигнальные платформы (6-10)
1.2.1.3.1.3.3.1.	Эндоцитозные комплексы (2-4)
1.2.1.3.1.3.3.2.	Везикулярные платформы (2-3)
1.2.1.3.1.3.3.3.	Экзоцитозные комплексы (2-3)
1.2.1.3.2.	Сигнальные платформы (50-60)
1.2.1.3.2.1.	Мембранные рафты (20-20) 
1.2.1.3.2.1.1.	Липидные компоненты (8-8)
1.2.1.3.2.1.1.1.	Холестероловые домены (3-3)
1.2.1.3.2.1.1.2.	Сфингомиелиновые кластеры (3-3)
1.2.1.3.2.1.1.3.	Гликосфинголипидные области (2-2)
1.2.1.3.2.1.2.	Белковые компоненты (7-7)
1.2.1.3.2.1.2.1.	GPI-заякоренные белки (3-3)
1.2.1.3.2.1.2.2.	Трансмембранные белки (2-2)
1.2.1.3.2.1.2.3.	Периферические белки (2-2)
1.2.1.3.2.1.3.	Регуляторные элементы (5-5)
1.2.1.3.2.1.3.1.	Актин-связывающие белки (2-2)
1.2.1.3.2.1.3.2.	Флотиллины (2-2)
1.2.1.3.2.1.3.3.	Кавеолины (1-1)
1.2.1.3.2.2.	Сигналосомы (15-20) 
1.2.1.3.2.2.1.	Киназные комплексы (6-8)
1.2.1.3.2.2.1.1.	MAP-киназные сигналосомы (2-3)
1.2.1.3.2.2.1.2.	PI3K-сигналосомы (2-3)
1.2.1.3.2.2.1.3.	mTOR-сигналосомы (2-2)
1.2.1.3.2.2.2.	Убиквитин-зависимые комплексы (5-7)
1.2.1.3.2.2.2.1.	COP9-сигналосомы (2-3)
1.2.1.3.2.2.2.2.	SCF-сигналосомы (2-2)
1.2.1.3.2.2.2.3.	APC-сигналосомы (1-2)
1.2.1.3.2.2.3.	Адаптерные комплексы (4-5)
1.2.1.3.2.2.3.1.	DISC-сигналосомы (2-2)
1.2.1.3.2.2.3.2.	Inflammasome-комплексы (1-2)
1.2.1.3.2.2.3.3.	NADPH-оксидазные комплексы (1-1)
1.2.1.3.2.3.	Эндоцитозные домены (15-20) 
1.2.1.3.2.3.1.	Клатрин-зависимые домены (6-8)
1.2.1.3.2.3.1.1.	Адаптерные комплексы AP2 (2-3)
1.2.1.3.2.3.1.2.	Клатриновые решетки (2-3)
1.2.1.3.2.3.1.3.	Динамин-зависимые структуры (2-2)
1.2.1.3.2.3.2.	Кавеолин-зависимые домены (5-7)
1.2.1.3.2.3.2.1.	Кавеолиновые впячивания (2-3)
1.2.1.3.2.3.2.2.	Липидные платформы (2-2)
1.2.1.3.2.3.2.3.	Актин-ассоциированные комплексы (1-2)
1.2.1.3.2.3.3.	Клатрин-независимые домены (4-5)
1.2.1.3.2.3.3.1.	CLIC/GEEC-пути (2-2)
1.2.1.3.2.3.3.2.	Арф6-зависимые домены (1-2)
1.2.1.3.2.3.3.3.	Флотиллин-зависимые домены (1-1)
1.2.2.	Метаболические аттракторы (700-900)
1.2.2.1.	Энергетические метаболические аттракторы (300-350)
1.2.2.1.1.	Гликолитические (150-170)
1.2.2.1.1.1.	Анаэробный гликолиз (50-60) 
1.2.2.1.1.1.1.	Субстратное фосфорилирование (15-18)
1.2.2.1.1.1.1.1.	Фосфоглицераткиназный комплекс (7-9)
1.2.2.1.1.1.1.2.	Пируваткиназный комплекс (8-9)
1.2.2.1.1.1.2.	Ферментативные комплексы гликолиза (20-25)
1.2.2.1.1.1.2.1.	Альдолазный комплекс (6-8)
1.2.2.1.1.1.2.2.	Фосфофруктокиназный комплекс (7-8)
1.2.2.1.1.1.2.3.	Гексокиназный комплекс (7-9)
1.2.2.1.1.1.3.	Лактатдегидрогеназный путь (15-17)
1.2.2.1.1.1.3.1.	NAD+-зависимое звено (7-8)
1.2.2.1.1.1.3.2.	Лактатный транспорт (8-9)
1.2.2.1.1.2.	Аэробный гликолиз (50-55) 
1.2.2.1.1.2.1.	Регуляторные комплексы входа глюкозы (16-18)
1.2.2.1.1.2.1.1.	Инсулин-зависимый транспортный комплекс (5-6)
1.2.2.1.1.2.1.2.	Гексокиназный регуляторный узел (5-6)
1.2.2.1.1.2.1.3.	Глюкозо-6-фосфатный контрольный пункт (6-6)
1.2.2.1.1.2.2.	Ферментативные комплексы преобразования (18-20)
1.2.2.1.1.2.2.1.	Фосфофруктокиназный метаболон (6-7)
1.2.2.1.1.2.2.2.	Пируваткиназный метаболон (6-6)
1.2.2.1.1.2.2.3.	Фосфоглицератный метаболон (6-7)
1.2.2.1.1.2.3.	Митохондриальное сопряжение (16-17)
1.2.2.1.1.2.3.1.	Пируватдегидрогеназный комплекс (5-6)
1.2.2.1.1.2.3.2.	Малат-аспартатный челночный механизм (6-6)
1.2.2.1.1.2.3.3.	Глицерол-фосфатный челночный механизм (5-5)
1.2.2.1.1.3.	Пентозофосфатный путь (50-55) 
1.2.2.1.1.3.1.	Окислительная ветвь (20-22)
1.2.2.1.1.3.1.1.	Глюкозо-6-фосфатдегидрогеназный комплекс (7-8)
1.2.2.1.1.3.1.2.	6-фосфоглюконатдегидрогеназный комплекс (7-7)
1.2.2.1.1.3.1.3.	NADPH-регенерирующий комплекс (6-7)
1.2.2.1.1.3.2.	Неокислительная ветвь (18-20)
1.2.2.1.1.3.2.1.	Транскетолазный метаболон (6-7)
1.2.2.1.1.3.2.2.	Трансальдолазный метаболон (6-6)
1.2.2.1.1.3.2.3.	Пентозо-фосфатный метаболон (6-7)
1.2.2.1.1.3.3.	Интеграционные комплексы (12-13)
1.2.2.1.1.3.3.1.	Рибозо-5-фосфатный регуляторный узел (4-4)
1.2.2.1.1.3.3.2.	Эритрозо-4-фосфатный регуляторный узел (4-4)
1.2.2.1.1.3.3.3.	Седогептулозный регуляторный узел (4-5)
1.2.2.1.2.	Митохондриальные (100-120)
1.2.2.1.2.1.	Окислительное фосфорилирование (35-40) 
1.2.2.1.2.1.1.	АТФ-синтазный комплекс (12-14)
1.2.2.1.2.1.1.1.	F0-субкомплекс протонного канала (4-5)
1.2.2.1.2.1.1.2.	F1-субкомплекс каталитический (4-5)
1.2.2.1.2.1.1.3.	Регуляторный субкомплекс синтеза АТФ (4-4)
1.2.2.1.2.1.2.	Протон-движущие механизмы (13-14)
1.2.2.1.2.1.2.1.	Протонные каналы комплекса I (4-5)
1.2.2.1.2.1.2.2.	Протонные каналы комплекса III (4-4)
1.2.2.1.2.1.2.3.	Протонные каналы комплекса IV (5-5)
1.2.2.1.2.1.3.	Регуляторные системы (10-12)
1.2.2.1.2.1.3.1.	Системы контроля протонного градиента (3-4)
1.2.2.1.2.1.3.2.	Механизмы сопряжения с субстратным окислением (4-4)
1.2.2.1.2.1.3.3.	Системы регуляции активности АТФ-синтазы (3-4)
1.2.2.1.2.2.	Цикл Кребса (35-40)
1.2.2.1.2.2.1.	Декарбоксилирующие комплексы (12-13)
1.2.2.1.2.2.1.1.	Изоцитратдегидрогеназный комплекс (4-4)
1.2.2.1.2.2.1.2.	Альфа-кетоглутаратдегидрогеназный комплекс (4-5)
1.2.2.1.2.2.1.3.	Малатдегидрогеназный комплекс (4-4)
1.2.2.1.2.2.2.	Гидратазно-дегидратазные комплексы (12-14)
1.2.2.1.2.2.2.1.	Аконитазный комплекс (4-5)
1.2.2.1.2.2.2.2.	Сукцинатдегидрогеназный комплекс (4-5)
1.2.2.1.2.2.2.3.	Фумаразный комплекс (4-4)
1.2.2.1.2.2.3.	Регуляторно-интеграционные механизмы (11-13)
1.2.2.1.2.2.3.1.	Системы контроля входа ацетил-КоА (4-5)
1.2.2.1.2.2.3.2.	Механизмы регуляции NADH/FAD (3-4)
1.2.2.1.2.2.3.3.	Анаплеротические регуляторные узлы (4-4) 
1.2.2.1.2.3.	Электрон-транспортная цепь (30-40) 
1.2.2.1.2.3.1.	NADH-дегидрогеназный комплекс I (10-12)
1.2.2.1.2.3.1.1.	FMN-связывающий домен (3-4)
1.2.2.1.2.3.1.2.	Железо-серные центры (4-4)
1.2.2.1.2.3.1.3.	Убихинон-связывающий сайт (3-4)
1.2.2.1.2.3.2.	Цитохромные комплексы (12-15)
1.2.2.1.2.3.2.1.	Комплекс III (bc1) (4-5)
1.2.2.1.2.3.2.2.	Комплекс IV (цитохром с оксидаза) (4-5)
1.2.2.1.2.3.2.3.	Цитохром с и мобильные переносчики (4-5)
1.2.2.1.2.3.3.	Регуляторные системы (8-13)
1.2.2.1.2.3.3.1.	Системы контроля электронного потока (3-5)
1.2.2.1.2.3.3.2.	Механизмы сопряжения комплексов (2-4)
1.2.2.1.2.3.3.3.	Редокс-сенсорные системы (3-4)
1.2.2.1.3.	Липидного обмена (50-60)
1.2.2.1.3.1.	Бета-окисление (20-20) 
1.2.2.1.3.1.1.	Активация жирных кислот (6-7)
1.2.2.1.3.1.1.1.	Цитозольная активация (2-3)
1.2.2.1.3.1.1.2.	Митохондриальная активация (2-2)
1.2.2.1.3.1.1.3.	Карнитиновый шаттл (2-2)
1.2.2.1.3.1.2.	Цикл бета-окисления (8-7)
1.2.2.1.3.1.2.1.	Дегидрирование (2-2)
1.2.2.1.3.1.2.2.	Гидратация (2-2)
1.2.2.1.3.1.2.3.	Второе дегидрирование (2-2)
1.2.2.1.3.1.2.4.	Тиолиз (2-1)
1.2.2.1.3.1.3.	Регуляторные механизмы (6-6)
1.2.2.1.3.1.3.1.	Гормональная регуляция (2-2)
1.2.2.1.3.1.3.2.	Метаболическая регуляция (2-2)
1.2.2.1.3.1.3.3.	Транскрипционная регуляция (2-2)
1.2.2.1.3.2.	Липогенез (15-20) 
1.2.2.1.3.2.1.	Синтез жирных кислот (7-9)
1.2.2.1.3.2.1.1.	Активация ацетил-КоА (2-3)
1.2.2.1.3.2.1.2.	Элонгация цепи (3-3)
1.2.2.1.3.2.1.3.	Терминация синтеза (2-3)
1.2.2.1.3.2.2.	Модификации жирных кислот (4-6)
1.2.2.1.3.2.2.1.	Десатурация (2-3)
1.2.2.1.3.2.2.2.	Элонгация (2-3)
1.2.2.1.3.2.3.	Регуляция липогенеза (4-5)
1.2.2.1.3.2.3.1.	Гормональный контроль (2-2)
1.2.2.1.3.2.3.2.	Нутриентная регуляция (1-2)
1.2.2.1.3.2.3.3.	Метаболическая регуляция (1-1)
1.2.2.1.3.3.	Кетогенез (15-20) 
1.2.2.1.3.3.1.	Образование ацетоацетата (6-8)
1.2.2.1.3.3.1.1.	Конденсация ацетил-КоА (2-3)
1.2.2.1.3.3.1.2.	Образование HMG-КоА (2-3)
1.2.2.1.3.3.1.3.	Расщепление до ацетоацетата (2-2)
1.2.2.1.3.3.2.	Формирование кетоновых тел (5-7)
1.2.2.1.3.3.2.1.	Восстановление до бета-гидроксибутирата (3-4)
1.2.2.1.3.3.2.2.	Спонтанное декарбоксилирование до ацетона (2-3)
1.2.2.1.3.3.3.	Регуляция кетогенеза (4-5)
1.2.2.1.3.3.3.1.	Гормональная регуляция (2-2)
1.2.2.1.3.3.3.2.	Субстратная регуляция (1-2)
1.2.2.1.3.3.3.3.	Энергетическая регуляция (1-1)
1.2.2.2.	Биосинтетические аттракторы (250-350)
1.2.2.2.1.	Белковый синтез (150-200)
1.2.2.2.1.1.	Трансляционные комплексы (50-70) 
1.2.2.2.1.1.1.	Инициация трансляции (20-25)
1.2.2.2.1.1.1.1.	Формирование преинициаторного комплекса (7-8)
1.2.2.2.1.1.1.2.	Сканирование мРНК (6-8)
1.2.2.2.1.1.1.3.	Распознавание стартового кодона (7-9)
1.2.2.2.1.1.2.	Элонгация трансляции (20-30)
1.2.2.2.1.1.2.1.	Декодирование аминоацил-тРНК (7-10)
1.2.2.2.1.1.2.2.	Образование пептидной связи (7-10)
1.2.2.2.1.1.2.3.	Транслокация рибосомы (6-10)
1.2.2.2.1.1.3.	Терминация трансляции (10-15)
1.2.2.2.1.1.3.1.	Распознавание стоп-кодона (3-5)
1.2.2.2.1.1.3.2.	Высвобождение полипептида (4-5)
1.2.2.2.1.1.3.3.	Рециклинг рибосомных субъединиц (3-5)
1.2.2.2.1.2.	Посттрансляционные модификации (50-65) 
1.2.2.2.1.2.1.	Ковалентные модификации (25-30)
1.2.2.2.1.2.1.1.	Фосфорилирование (9-10)
1.2.2.2.1.2.1.2.	Гликозилирование (8-10)
1.2.2.2.1.2.1.3.	Ацетилирование (8-10)
1.2.2.2.1.2.2.	Структурные модификации (15-20)
1.2.2.2.1.2.2.1.	Протеолитический процессинг (5-7)
1.2.2.2.1.2.2.2.	Формирование дисульфидных связей (5-6)
1.2.2.2.1.2.2.3.	Изомеризация пролина (5-7)
1.2.2.2.1.2.3.	Регуляторные механизмы модификаций (10-15)
1.2.2.2.1.2.3.1.	Сигнальная регуляция (4-5)
1.2.2.2.1.2.3.2.	Компартментализация (3-5)
1.2.2.2.1.2.3.3.	Временная координация (3-5)
1.2.2.2.1.3.	Фолдинг белков (50-65) 
1.2.2.2.1.3.1.	Формирование вторичной структуры (20-25)
1.2.2.2.1.3.1.1.	Образование альфа-спиралей (7-8)
1.2.2.2.1.3.1.2.	Формирование бета-слоев (7-8)
1.2.2.2.1.3.1.3.	Стабилизация поворотов и петель (6-9)
1.2.2.2.1.3.2.	Компактизация третичной структуры (20-25)
1.2.2.2.1.3.2.1.	Гидрофобные взаимодействия (7-8)
1.2.2.2.1.3.2.2.	Ионные взаимодействия (7-8)
1.2.2.2.1.3.2.3.	Водородные связи (6-9)
1.2.2.2.1.3.3.	Контроль качества фолдинга (10-15)
1.2.2.2.1.3.3.1.	Шапероновая система (4-5)
1.2.2.2.1.3.3.2.	Система убиквитинирования (3-5)
1.2.2.2.1.3.3.3.	Агрегация и предотвращение (3-5)
1.2.2.2.2.	Липидный синтез (100-150)
1.2.2.2.2.1.	Мембранные липиды (35-50) 
1.2.2.2.2.1.1.	Фосфолипиды (15-20)
1.2.2.2.2.1.1.1.	Фосфатидилхолины (5-7)
1.2.2.2.2.1.1.2.	Фосфатидилэтаноламины (5-6)
1.2.2.2.2.1.1.3.	Фосфатидилсерины (5-7)
1.2.2.2.2.1.2.	Гликолипиды (12-17)
1.2.2.2.2.1.2.1.	Цереброзиды (4-6)
1.2.2.2.2.1.2.2.	Ганглиозиды (4-6)
1.2.2.2.2.1.2.3.	Сульфатиды (4-5)
1.2.2.2.2.1.3.	Структурная организация (8-13)
1.2.2.2.2.1.3.1.	Асимметрия бислоя (3-5)
1.2.2.2.2.1.3.2.	Микродоменная организация (3-4)
1.2.2.2.2.1.3.3.	Холестерол-зависимая регуляция (2-4)
1.2.2.2.2.2.	Сигнальные липиды (35-50) 
1.2.2.2.2.2.1.	Эйкозаноиды (15-20)
1.2.2.2.2.2.1.1.	Простагландины (5-7)
1.2.2.2.2.2.1.2.	Лейкотриены (5-7)
1.2.2.2.2.2.1.3.	Тромбоксаны (5-6)
1.2.2.2.2.2.2.	Диацилглицеролы и инозитолфосфаты (12-17)
1.2.2.2.2.2.2.1.	Диацилглицерол и производные (4-6)
1.2.2.2.2.2.2.2.	Инозитолфосфаты (4-6)
1.2.2.2.2.2.2.3.	Фосфатидная кислота (4-5)
1.2.2.2.2.2.3.	Сфингозиновые производные (8-13)
1.2.2.2.2.2.3.1.	Сфингозин-1-фосфат (3-5)
1.2.2.2.2.2.3.2.	Церамиды (3-4)
1.2.2.2.2.2.3.3.	Лизофосфолипиды (2-4)
1.2.2.2.2.3.	Запасные липиды (30-50) 
1.2.2.2.2.3.1.	Триацилглицеролы (12-20)
1.2.2.2.2.3.1.1.	Насыщенные триацилглицеролы (4-7)
1.2.2.2.2.3.1.2.	Мононенасыщенные триацилглицеролы (4-7)
1.2.2.2.2.3.1.3.	Полиненасыщенные триацилглицеролы (4-6)
1.2.2.2.2.3.2.	Организация липидных капель (10-17)
1.2.2.2.2.3.2.1.	Поверхностные белки (4-6)
1.2.2.2.2.3.2.2.	Липидный монослой (3-6)
1.2.2.2.2.3.2.3.	Гидрофобное ядро (3-5)
1.2.2.2.2.3.3.	Метаболическая регуляция (8-13)
1.2.2.2.2.3.3.1.	Гормональный контроль (3-5)
1.2.2.2.2.3.3.2.	Энергетический баланс (3-4)
1.2.2.2.2.3.3.3.	Сезонная адаптация (2-4)
1.2.2.3.	Катаболические аттракторы (150-200)
1.2.2.3.1.	Протеолитические (80-100)
1.2.2.3.1.1.	Убиквитин-зависимая деградация (30-35) 
1.2.2.3.1.1.1.	Субстратное распознавание (12-14)
1.2.2.3.1.1.1.1.	E3-лигазные комплексы (4-5)
1.2.2.3.1.1.1.2.	Сигналы деградации (4-5)
1.2.2.3.1.1.1.3.	Адаптерные белки (4-4)
1.2.2.3.1.1.2.	Убиквитинирование (10-12)
1.2.2.3.1.1.2.1.	Активация убиквитина (E1) (3-4)
1.2.2.3.1.1.2.2.	Конъюгация убиквитина (E2) (3-4)
1.2.2.3.1.1.2.3.	Формирование цепей (4-4)
1.2.2.3.1.1.3.	Протеасомная деградация (8-9)
1.2.2.3.1.1.3.1.	Распознавание субстрата (3-3)
1.2.2.3.1.1.3.2.	Разворачивание белка (3-3)
1.2.2.3.1.1.3.3.	Протеолиз (2-3)
1.2.2.3.1.2.	Лизосомальный протеолиз (25-35) 
1.2.2.3.1.2.1.	Доставка субстратов (10-14)
1.2.2.3.1.2.1.1.	Эндоцитозный путь (4-5)
1.2.2.3.1.2.1.2.	Аутофагосомальный путь (3-5)
1.2.2.3.1.2.1.3.	Шаперон-опосредованный транспорт (3-4)
1.2.2.3.1.2.2.	Протеолитические системы (9-12)
1.2.2.3.1.2.2.1.	Цистеиновые протеазы (3-4)
1.2.2.3.1.2.2.2.	Аспартильные протеазы (3-4)
1.2.2.3.1.2.2.3.	Серин-зависимые протеазы (3-4)
1.2.2.3.1.2.3.	Регуляция и контроль (6-9)
1.2.2.3.1.2.3.1.	pH-зависимая активация (2-3)
1.2.2.3.1.2.3.2.	Компартментализация (2-3)
1.2.2.3.1.2.3.3.	Ингибиторный контроль (2-3)
1.2.2.3.1.3.	Автофагия (25-30) 
1.2.2.3.1.3.1.	Индукция и формирование фагофора (10-12)
1.2.2.3.1.3.1.1.	Сигнальная индукция (4-4)
1.2.2.3.1.3.1.2.	Нуклеация мембраны (3-4)
1.2.2.3.1.3.1.3.	Элонгация фагофора (3-4)
1.2.2.3.1.3.2.	Созревание аутофагосомы (8-10)
1.2.2.3.1.3.2.1.	Распознавание субстратов (3-4)
1.2.2.3.1.3.2.2.	Замыкание мембраны (3-3)
1.2.2.3.1.3.2.3.	Слияние с лизосомой (2-3)
1.2.2.3.1.3.3.	Регуляция автофагии (7-8)
1.2.2.3.1.3.3.1.	Нутриентный контроль (2-3)
1.2.2.3.1.3.3.2.	Стрессовая регуляция (3-3)
1.2.2.3.1.3.3.3.	Гормональная регуляция (2-2)
1.2.2.3.2.	Липолитические (70-100)
1.2.2.3.2.1.	Нейтральные липазы (25-35) 
1.2.2.3.2.1.1.	Триацилглицерол-липазы (8-12)
1.2.2.3.2.1.1.1.	Адипоцитарная триглицеридная липаза (3-4)
1.2.2.3.2.1.1.2.	Панкреатическая липаза (3-4)
1.2.2.3.2.1.1.3.	Печёночная липаза (2-4)
1.2.2.3.2.1.2.	Моноацилглицерол-липазы (7-9)
1.2.2.3.2.1.2.1.	Цитозольная моноглицеридная липаза (3-4)
1.2.2.3.2.1.2.2.	Мембранно-ассоциированная моноглицеридная липаза (2-3)
1.2.2.3.2.1.2.3.	Лизосомальная моноглицеридная липаза (2-2)
1.2.2.3.2.1.3.	Эфир-гидролазы (10-14)
1.2.2.3.2.1.3.1.	Карбоксилэстеразы (4-5)
1.2.2.3.2.1.3.2.	Холестерол-эстеразы (3-4)
1.2.2.3.2.1.3.3.	Ретинол-эстеразы (3-5)
1.2.2.3.2.2.	Кислые липазы (25-35) 
1.2.2.3.2.2.1.	Лизосомальные липазы (12-15)
1.2.2.3.2.2.1.1.	Кислая липаза лизосом (4-5)
1.2.2.3.2.2.1.2.	Лизосомальная фосфолипаза (4-5)
1.2.2.3.2.2.1.3.	Церамидаза (4-5)
1.2.2.3.2.2.2.	Эндосомальные липазы (8-10)
1.2.2.3.2.2.2.1.	Эндосомальная кислая липаза (3-4)
1.2.2.3.2.2.2.2.	Эндосомальная фосфолипаза (3-3)
1.2.2.3.2.2.2.3.	Сфингомиелиназа (2-3)
1.2.2.3.2.2.3.	Секретируемые кислые липазы (5-10)
1.2.2.3.2.2.3.1.	Желудочная липаза (2-4)
1.2.2.3.2.2.3.2.	Кислая сфингомиелиназа (2-3)
1.2.2.3.2.2.3.3.	Церамид-специфичная липаза (1-3)
1.2.2.3.2.3.	Фосфолипазы (20-30) 
1.2.2.3.2.3.1.	Фосфолипазы A (8-12)
1.2.2.3.2.3.1.1.	Фосфолипаза A1 (4-6)
1.2.2.3.2.3.1.1.1.	Цитозольная PLA1 (2-3)
1.2.2.3.2.3.1.1.2.	Секреторная PLA1 (2-3)
1.2.2.3.2.3.1.2.	Фосфолипаза A2 (4-6)
1.2.2.3.2.3.1.2.1.	Цитозольная PLA2 (2-3)
1.2.2.3.2.3.1.2.2.	Секреторная PLA2 (2-3)
1.2.2.3.2.3.2.	Фосфолипазы C (6-9)
1.2.2.3.2.3.2.1.	Фосфатидилинозитол-специфичная PLC (2-3)
1.2.2.3.2.3.2.2.	Фосфатидилхолин-специфичная PLC (2-3)
1.2.2.3.2.3.2.3.	Сфингомиелин-специфичная PLC (2-3)
1.2.2.3.2.3.3.	Фосфолипазы D (6-9)
1.2.2.3.2.3.3.1.	Классическая PLD (2-3)
1.2.2.3.2.3.3.2.	Некаталитическая PLD (2-3)
1.2.2.3.2.3.3.3.	Митохондриальная PLD (2-3)
1.3.	Тканевой уровень (800-1000)
1.3.1.	Структурные аттракторы (400-500)
1.3.1.1.	Межклеточные структурные аттракторы (200-250)
1.3.1.1.1.	Адгезионные комплексы (120-150)
1.3.1.1.1.1.	Кадгерин-зависимые контакты (40-50)
1.3.1.1.1.1.1.	Классические кадгериновые комплексы (15-20)
1.3.1.1.1.1.1.1.	E-кадгериновые соединения (5-7)
1.3.1.1.1.1.1.2.	N-кадгериновые соединения (5-7)
1.3.1.1.1.1.1.3.	P-кадгериновые соединения (5-6)
1.3.1.1.1.1.2.	Цитоплазматические якорные комплексы (15-18)
1.3.1.1.1.1.2.1.	α-катениновые комплексы (5-6)
1.3.1.1.1.1.2.2.	β-катениновые комплексы (5-6)
1.3.1.1.1.1.2.3.	p120-катениновые комплексы (5-6)
1.3.1.1.1.1.3.	Регуляторные компоненты (10-12)
1.3.1.1.1.1.3.1.	Малые ГТФазы (3-4)
1.3.1.1.1.1.3.2.	Киназные каскады (4-4)
1.3.1.1.1.1.3.3.	Фосфатазные комплексы (3-4)
1.3.1.1.1.2.	Интегрин-зависимые контакты (40-50)
1.3.1.1.1.2.1.	Матрикс-связывающие комплексы (15-18)
1.3.1.1.1.2.1.1.	α/β-интегриновые гетеродимеры (5-6)
1.3.1.1.1.2.1.2.	Коллаген-связывающие интегрины (5-6)
1.3.1.1.1.2.1.3.	Фибронектин-связывающие интегрины (5-6)
1.3.1.1.1.2.2.	Цитоплазматические адаптерные комплексы (15-20)
1.3.1.1.1.2.2.1.	Талин-винкулиновые комплексы (5-7)
1.3.1.1.1.2.2.2.	Актин-связывающие белки (5-7)
1.3.1.1.1.2.2.3.	Сигнальные адаптеры (5-6)
1.3.1.1.1.2.3.	Сигнальные компоненты (10-12)
1.3.1.1.1.2.3.1.	Фокально-адгезионная киназа (3-4)
1.3.1.1.1.2.3.2.	Src-киназные комплексы (4-4)
1.3.1.1.1.2.3.3.	Малые ГТФазы и регуляторы (3-4)
1.3.1.1.1.3.	Десмосомные контакты (40-50)
1.3.1.1.1.3.1.	Трансмембранные адгезионные комплексы (15-18)
1.3.1.1.1.3.1.1.	Десмоглеиновые комплексы (5-6)
1.3.1.1.1.3.1.2.	Десмоколлиновые комплексы (5-6)
1.3.1.1.1.3.1.3.	Межмолекулярные адгезионные интерфейсы (5-6)
1.3.1.1.1.3.2.	Цитоплазматическая пластинка (15-20)
1.3.1.1.1.3.2.1.	Плакоглобиновые комплексы (5-7)
1.3.1.1.1.3.2.2.	Десмоплакиновые комплексы (5-7)
1.3.1.1.1.3.2.3.	Плакофилиновые комплексы (5-6)
1.3.1.1.1.3.3.	Промежуточные филаменты (10-12)
1.3.1.1.1.3.3.1.	Кератиновые филаменты (3-4)
1.3.1.1.1.3.3.2.	Якорные белки филаментов (4-4)
1.3.1.1.1.3.3.3.	Регуляторы сборки филаментов (3-4)
1.3.1.1.2.	Внеклеточный матрикс (80-100)
1.3.1.1.2.1.	Коллагеновые структуры (30-35)
1.3.1.1.2.1.1.	Фибриллярные коллагены (12-14)
1.3.1.1.2.1.1.1.	Коллаген I типа (4-5)
1.3.1.1.2.1.1.2.	Коллаген III типа (4-5)
1.3.1.1.2.1.1.3.	Коллаген V типа (4-4)
1.3.1.1.2.1.2.	Сетеобразующие коллагены (10-12)
1.3.1.1.2.1.2.1.	Коллаген IV типа (3-4)
1.3.1.1.2.1.2.2.	Коллаген VIII типа (3-4)
1.3.1.1.2.1.2.3.	Коллаген X типа (4-4)
1.3.1.1.2.1.3.	Якорные структуры (8-9)
1.3.1.1.2.1.3.1.	Коллаген VII типа (3-3)
1.3.1.1.2.1.3.2.	Микрофибриллярные комплексы (3-3)
1.3.1.1.2.1.3.3.	Поперечные сшивки (2-3)
1.3.1.1.2.2.	Протеогликановые комплексы (25-35)
1.3.1.1.2.2.1.	Базально-мембранные протеогликаны (10-12)
1.3.1.1.2.2.1.1.	Перлекановые комплексы (3-4)
1.3.1.1.2.2.1.2.	Агриновые комплексы (3-4)
1.3.1.1.2.2.1.3.	Коллаген XVIII-ассоциированные структуры (4-4)
1.3.1.1.2.2.2.	Интерстициальные протеогликаны (8-12)
1.3.1.1.2.2.2.1.	Версикановые агрегаты (3-4)
1.3.1.1.2.2.2.2.	Декориновые комплексы (2-4)
1.3.1.1.2.2.2.3.	Бигликановые структуры (3-4)
1.3.1.1.2.2.3.	Клеточно-поверхностные протеогликаны (7-11)
1.3.1.1.2.2.3.1.	Синдекановые комплексы (2-4)
1.3.1.1.2.2.3.2.	Глипикановые структуры (2-3)
1.3.1.1.2.2.3.3.	CD44-ассоциированные комплексы (3-4)
1.3.1.1.2.3.	Гликопротеиновые сети (25-30)
1.3.1.1.2.3.1.	Адгезивные гликопротеины (10-12)
1.3.1.1.2.3.1.1.	Фибронектиновые комплексы (3-4)
1.3.1.1.2.3.1.2.	Ламининовые структуры (4-4)
1.3.1.1.2.3.1.3.	Витронектиновые ассоциаты (3-4)
1.3.1.1.2.3.2.	Структурные гликопротеины (8-10)
1.3.1.1.2.3.2.1.	Эластин-ассоциированные комплексы (3-4)
1.3.1.1.2.3.2.2.	Фибриллиновые микрофибриллы (3-3)
1.3.1.1.2.3.2.3.	Нидогеновые сети (2-3)
